hr,name,ra_deg,dec_deg,magnitude,constellation
2491,Sirius,101.2872,-16.7161,-1.44,Canis Major
2326,Canopus,95.9879,-52.6957,-0.62,Carina
5340,Arcturus,213.9154,19.1824,-0.05,Boötes
5459,Rigil Kentaurus,219.9115,-60.8340,-0.01,Centaurus
7001,Vega,279.2346,38.7837,0.03,Lyra
1708,Capella,79.1723,45.9980,0.08,Auriga
1713,Rigel,78.6345,-8.2016,0.18,Orion
2943,Procyon,114.8255,5.2250,0.40,Canis Minor
472,Achernar,24.4283,-57.2368,0.45,Eridanus
2061,Betelgeuse,88.7929,7.4071,0.45,Orion
5267,Hadar,210.9559,-60.3730,0.61,Centaurus
7557,Altair,297.6958,8.8683,0.76,Aquila
4730,Acrux,186.6497,-63.0991,0.77,Crux
1457,Aldebaran,68.9802,16.5093,0.87,Taurus
5056,Spica,201.2982,-11.1613,0.98,Virgo
6134,Antares,247.3519,-26.4320,1.06,Scorpius
2990,Pollux,116.3292,28.0262,1.16,Gemini
8728,Fomalhaut,344.4126,-29.6222,1.17,Piscis Austrinus
4853,Mimosa,191.9304,-59.6888,1.25,Crux
7924,Deneb,310.3580,45.2803,1.25,Cygnus
5460,Toliman,219.9052,-60.8383,1.35,Centaurus
3982,Regulus,152.0930,11.9672,1.36,Leo
2618,Adhara,104.6565,-28.9721,1.50,Canis Major
2891,Castor,113.6495,31.8883,1.58,Gemini
4763,Gacrux,187.7914,-57.1132,1.59,Crux
6527,Shaula,263.4022,-37.1038,1.62,Scorpius
1790,Bellatrix,81.2828,6.3497,1.64,Orion
1791,Elnath,81.5730,28.6075,1.65,Taurus
3685,Miaplacidus,138.3006,-69.7172,1.67,Carina
1903,Alnilam,84.0534,-1.2019,1.69,Orion
8425,Alnair,332.0581,-46.9610,1.73,Grus
1948,Alnitak,85.1897,-1.9426,1.74,Orion
3207,Gam-2 Vel,122.3831,-47.3366,1.75,Vela
4905,Alioth,193.5071,55.9598,1.76,Ursa Major
1017,Mirfak,51.0807,49.8612,1.79,Perseus
6879,Kaus Australis,276.0430,-34.3846,1.79,Sagittarius
4301,Dubhe,165.9323,61.7510,1.81,Ursa Major
2693,Wezen,107.0979,-26.3932,1.83,Canis Major
5191,Alkaid,206.8853,49.3133,1.85,Ursa Major
3307,Avior,125.6285,-59.5095,1.86,Carina
6553,Sargas,264.3297,-42.9978,1.86,Scorpius
2088,Menkalinan,89.8822,44.9474,1.90,Auriga
6217,Atria,252.1662,-69.0277,1.91,Triangulum Australe
2421,Alhena,99.4279,16.3993,1.93,Gemini
3485,Alsephina,131.1759,-54.7088,1.93,Vela
7790,Peacock,306.4119,-56.7351,1.94,Pavo
424,Polaris,37.9462,89.2641,1.97,Ursa Minor
2294,Mirzam,95.6749,-17.9559,1.98,Canis Major
3748,Alphard,141.8969,-8.6586,1.99,Hydra
617,Hamal,31.7933,23.4624,2.01,Aries
4057,Algieba,154.9931,19.8415,2.01,Leo
188,Diphda,10.8973,-17.9866,2.04,Cetus
7121,Nunki,283.8163,-26.2967,2.05,Sagittarius
5288,Menkent,211.6709,-36.3700,2.06,Centaurus
15,Alpheratz,2.0969,29.0904,2.07,Andromeda
337,Mirach,17.4329,35.6206,2.07,Andromeda
2004,Saiph,86.9391,-9.6696,2.07,Orion
5563,Kochab,222.6766,74.1555,2.07,Ursa Minor
8636,Tiaki,340.6667,-46.8846,2.07,Grus
6556,Rasalhague,263.7336,12.5600,2.08,Ophiuchus
936,Algol,47.0422,40.9556,2.09,Perseus
603,Almach,30.9748,42.3297,2.10,Andromeda
4534,Denebola,177.2649,14.5721,2.14,Leo
264,Cih,14.1771,60.7167,2.15,Cassiopeia
4819,γ Cen,190.3796,-48.9599,2.20,Centaurus
3165,Naos,120.8961,-40.0031,2.21,Puppis
3699,Aspidiske,139.2726,-59.2752,2.21,Carina
5793,Alphecca,233.6719,26.7147,2.22,Corona Borealis
3634,Suhail,136.9990,-43.4326,2.23,Vela
5054,Mizar,200.9812,54.9254,2.23,Ursa Major
7796,Sadr,305.5571,40.2567,2.23,Cygnus
168,Schedar,10.1267,56.5373,2.24,Cassiopeia
6705,Eltanin,269.1516,51.4889,2.24,Draco
1852,Mintaka,83.0017,-0.2991,2.25,Orion
21,Caph,2.2933,59.1498,2.28,Cassiopeia
5132,ε Cen,204.9719,-53.4664,2.29,Centaurus
5953,Dschubba,240.0834,-22.6217,2.29,Scorpius
6241,Larawag,252.5412,-34.2932,2.29,Scorpius
5469,α Lup,220.4823,-47.3882,2.30,Lupus
5440,η Cen,218.8768,-42.1578,2.33,Centaurus
4295,Merak,165.4602,56.3824,2.34,Ursa Major
5505,Izar,221.2468,27.0742,2.35,Boötes
8308,Enif,326.0465,9.8750,2.38,Pegasus
6580,κ Sco,265.6220,-39.0300,2.39,Scorpius
99,Ankaa,6.5708,-42.3060,2.40,Phoenix
4554,Phecda,178.4575,53.6948,2.41,Ursa Major
6378,Sabik,257.5945,-15.7249,2.43,Ophiuchus
8775,Scheat,345.9435,28.0828,2.44,Pegasus
2827,Aludra,111.0238,-29.3031,2.45,Canis Major
8162,Alderamin,319.6445,62.5856,2.45,Cepheus
3734,Markeb,140.5284,-55.0107,2.47,Vela
7949,Aljanah,311.5527,33.9703,2.48,Cygnus
8781,Markab,346.1902,15.2053,2.49,Pegasus
911,Menkar,45.5699,4.0897,2.54,Cetus
6175,ζ Oph,249.2897,-10.5671,2.54,Ophiuchus
5231,ζ Cen,208.8850,-47.2884,2.55,Centaurus
4357,Zosma,168.5271,20.5237,2.56,Leo
5984,Acrab,241.3593,-19.8055,2.56,Scorpius
1865,Arneb,83.1826,-17.8223,2.58,Lepus
4621,δ Cen,182.0897,-50.7224,2.58,Centaurus
4662,Gienah,183.9516,-17.5419,2.58,Corvus
7194,Ascella,285.6530,-29.8801,2.60,Sagittarius
5685,Zubeneschamali,229.2517,-9.3829,2.61,Libra
5854,Unukalhai,236.0670,6.4256,2.63,Serpens
553,Sheratan,28.6600,20.8080,2.64,Aries
1956,Phact,84.9123,-34.0741,2.65,Columba
2095,Mahasim,89.9303,37.2126,2.65,Auriga
4786,Kraz,188.5968,-23.3968,2.65,Corvus
403,Ruchbah,21.4532,60.2353,2.66,Cassiopeia
5235,Muphrid,208.6712,18.3977,2.68,Boötes
5571,β Lup,224.6331,-43.1340,2.68,Lupus
1577,Hassaleh,74.2484,33.1661,2.69,Auriga
4216,μ Vel,161.6923,-49.4203,2.69,Vela
4798,α Mus,189.2961,-69.1356,2.69,Musca
6508,Lesath,262.6910,-37.2958,2.70,Scorpius
2773,π Pup,109.2857,-37.0975,2.71,Puppis
6859,Kaus Media,275.2485,-29.8281,2.72,Sagittarius
7525,Tarazed,296.5649,10.6133,2.72,Aquila
6056,Yed Prior,243.5864,-3.6943,2.73,Ophiuchus
6132,Athebyne,245.9979,61.5142,2.73,Draco
4199,θ Car,160.7392,-64.3945,2.74,Carina
4825,Porrima,190.4152,-1.4494,2.74,Virgo
1899,Hatysa,83.8583,-5.9099,2.75,Orion
5028,ι Cen,200.1494,-36.7123,2.75,Centaurus
5531,Zubenelgenubi,222.7197,-16.0418,2.75,Libra
6603,Cebalrai,265.8681,4.5673,2.76,Ophiuchus
1666,Cursa,76.9624,-5.0864,2.78,Eridanus
6148,Kornephoros,247.5550,21.4896,2.78,Hercules
6406,Rasalgethi,258.6619,14.3903,2.78,Hercules
4656,Imai,183.7864,-58.7489,2.79,Crux
6536,Rastaban,262.6082,52.3014,2.79,Draco
5776,γ Lup,233.7852,-41.1668,2.80,Lupus
1829,Nihal,82.0613,-20.7594,2.81,Lepus
6212,ζ Her,250.3217,31.6027,2.81,Hercules
98,β Hyi,6.4187,-77.2542,2.82,Hydrus
6165,Paikauhale,248.9706,-28.2160,2.82,Scorpius
6913,Kaus Borealis,276.9927,-25.4217,2.82,Sagittarius
39,Algenib,3.3090,15.1836,2.83,Pegasus
3185,Tureis,121.8861,-24.3043,2.83,Puppis
5897,β TrA,238.7862,-63.4307,2.83,Triangulum Australe
1203,ζ Per,58.5330,31.8836,2.84,Perseus
6461,β Ara,261.3250,-55.5299,2.84,Ara
6510,α Ara,262.9604,-49.8761,2.84,Ara
1165,Alcyone,56.8712,24.1051,2.85,Taurus
4932,Vindemiatrix,195.5442,10.9591,2.85,Virgo
8322,Deneb Algedi,326.7602,-16.1273,2.85,Capricornus
2890,Castor B,113.6524,31.8905,2.85,Gemini
591,α Hyi,29.6918,-61.5699,2.86,Hydrus
7528,Fawaris,296.2436,45.1308,2.86,Cygnus
2286,Tejat,95.7401,22.5136,2.87,Gemini
5671,γ TrA,229.7277,-68.6795,2.87,Triangulum Australe
8502,α Tuc,334.6256,-60.2596,2.87,Tucana
897,Acamar,44.5653,-40.3047,2.88,Eridanus
7264,Albaldah,287.4410,-21.0236,2.88,Sagittarius
2845,Gomeisa,111.7877,8.2893,2.89,Canis Minor
4915,Cor Caroli,194.0071,38.3184,2.89,Canes Venatici
5944,Fang,239.7130,-26.1141,2.89,Scorpius
1220,ε Per,59.4635,40.0102,2.90,Perseus
6084,Alniyat,245.2971,-25.5928,2.90,Scorpius
8232,Sadalsuud,322.8897,-5.5712,2.90,Aquarius
915,γ Per,46.1991,53.5064,2.91,Perseus
3890,υ Car,146.7755,-65.0720,2.92,Carina
8650,Matar,340.7506,30.2212,2.93,Pegasus
2553,τ Pup,102.4840,-50.6146,2.94,Puppis
4757,Algorab,187.4661,-16.5154,2.94,Corvus
8414,Sadalmelik,331.4460,-0.3199,2.95,Aquarius
1231,Zaurak,59.5074,-13.5085,2.97,Eridanus
1910,Tianguan,84.4112,21.1425,2.97,Taurus
3873,Ras Elased Australis,146.4628,23.7743,2.97,Leo
6746,Alnasl,271.4520,-30.4241,2.98,Sagittarius
5020,γ Hya,199.7304,-23.1715,2.99,Hydra
6615,Iot-1 Sco,266.8962,-40.1270,2.99,Scorpius
7235,Okab,286.3525,13.8635,2.99,Aquila
622,β Tri,32.3859,34.9873,3.00,Triangulum
4335,ψ UMa,167.4159,44.4985,3.00,Ursa Major
5735,Pherkad,230.1822,71.8340,3.00,Ursa Minor
6247,Xamidimura,252.9676,-38.0474,3.00,Scorpius
8353,Aldhanab,328.4821,-37.3649,3.00,Grus
1122,δ Per,55.7312,47.7876,3.01,Perseus
2282,Furud,95.0783,-30.0634,3.02,Canis Major
2653,Omi-2 CMa,105.7561,-23.8333,3.02,Canis Major
4630,ε Crv,182.5312,-22.6198,3.02,Corvus
1605,Almaaz,75.4922,43.8233,3.03,Auriga
4844,β Mus,191.5702,-68.1081,3.04,Musca
5435,Seginus,218.0195,38.3083,3.04,Boötes
7417,Albireo,292.6803,27.9597,3.05,Cygnus
7776,Dabih,305.2528,-14.7814,3.05,Capricornus
2473,Mebsuta,100.9830,25.1311,3.06,Gemini
4069,Tania Australis,155.5823,41.4995,3.06,Ursa Major
7310,Altais,288.1384,67.6615,3.07,Draco
6832,η Sgr,274.4069,-36.7617,3.10,Sagittarius
3547,ζ Hya,133.8485,5.9456,3.11,Hydra
4232,ν Hya,162.4062,-16.1936,3.11,Hydra
4467,λ Cen,173.9454,-63.0198,3.11,Centaurus
7869,α Ind,309.3917,-47.2915,3.11,Indus
2040,Wazn,87.7399,-35.7683,3.12,Columba
3569,Talitha,134.8024,48.0418,3.12,Ursa Major
6285,ζ Ara,254.6551,-55.9901,3.12,Ara
6410,Sarin,258.7580,24.8392,3.12,Hercules
5576,κ Cen,224.7904,-42.1042,3.13,Centaurus
3705,α Lyn,140.2639,34.3926,3.14,Lynx
3803,HR 3803,142.8056,-57.0344,3.16,Vela
6418,π Her,258.7618,36.8092,3.16,Hercules
2451,ν Pup,99.4403,-43.1959,3.17,Puppis
3775,θ UMa,143.2157,51.6773,3.17,Ursa Major
6396,Aldhibah,257.1967,65.7147,3.17,Draco
7039,φ Sgr,281.4141,-26.9908,3.17,Sagittarius
1641,Haedus,76.6287,41.2345,3.18,Auriga
5463,α Cir,220.6274,-64.9751,3.18,Circinus
1543,Tabit,72.4600,6.9613,3.19,Orion
1654,ε Lep,76.3653,-22.3710,3.19,Lepus
6299,κ Oph,254.4171,9.3750,3.19,Ophiuchus
6630,Fuyue,267.4645,-37.0433,3.19,Scorpius
8115,ζ Cyg,318.2341,30.2269,3.21,Cygnus
8974,Errai,354.8373,77.6323,3.21,Cepheus
5695,δ Lup,230.3430,-40.6475,3.22,Lupus
6075,Yed Posterior,244.5804,-4.6925,3.23,Ophiuchus
6869,η Ser,275.3275,-2.8988,3.23,Serpens
8238,Alfirk,322.1649,70.5607,3.23,Cepheus
2550,α Pic,102.0479,-61.9414,3.24,Pictor
7710,θ Aql,302.8262,-0.8215,3.24,Aquila
2878,σ Pup,112.3077,-43.3014,3.25,Puppis
5287,π Hya,211.5929,-26.6824,3.25,Hydra
5603,Brachium,226.0176,-25.2820,3.25,Libra
7178,Sulafat,284.7359,32.6896,3.25,Lyra
1208,γ Hyi,56.8094,-74.2390,3.26,Hydrus
165,δ And,9.8319,30.8610,3.27,Andromeda
6453,θ Oph,260.5024,-24.9995,3.27,Ophiuchus
8709,Skat,343.6626,-15.8208,3.27,Aquarius
1702,μ Lep,78.2329,-16.2055,3.29,Lepus
4037,ω Car,153.4344,-70.0379,3.29,Carina
5744,Edasich,231.2324,58.9661,3.29,Draco
1465,α Dor,68.4990,-55.0450,3.30,Dorado
4140,HR 4140,158.0061,-61.6853,3.30,Carina
2216,Propus,93.7194,22.5068,3.31,Gemini
6462,γ Ara,261.3486,-56.3777,3.31,Ara
322,β Phe,16.5211,-46.7184,3.32,Phoenix
921,ρ Per,46.2940,38.8403,3.32,Perseus
4660,Megrez,183.8563,57.0326,3.32,Ursa Major
6380,η Sco,258.0383,-43.2392,3.32,Scorpius
6698,ν Oph,269.7566,-9.7736,3.32,Ophiuchus
7234,τ Sgr,286.7351,-27.6704,3.32,Sagittarius
1336,α Ret,63.6061,-62.4739,3.33,Reticulum
4359,Chertan,168.5600,15.4296,3.33,Leo
3045,Azmidi,117.3236,-24.8598,3.34,Puppis
542,Segin,28.5988,63.6701,3.35,Cassiopeia
1788,η Ori,81.1192,-2.3971,3.35,Orion
2484,Alzirr,101.3224,12.8956,3.35,Gemini
3323,Muscida,127.5665,60.7182,3.35,Ursa Major
7377,δ Aql,291.3746,3.1148,3.36,Aquila
5708,ε Lup,230.6703,-44.6896,3.37,Lupus
3482,Ashlesha,131.6938,6.4188,3.38,Hydra
5107,Heze,203.6733,-0.5958,3.38,Virgo
1879,Meissa,83.7845,9.9342,3.39,Orion
4050,HR 4050,154.2708,-61.3323,3.39,Carina
4910,Minelauva,193.9009,3.3975,3.39,Virgo
8465,ζ Cep,332.7136,58.2013,3.39,Cepheus
1412,Chamukuy,67.1656,15.8709,3.40,Taurus
429,γ Phe,22.0914,-43.3182,3.41,Phoenix
1239,λ Tau,60.1701,12.4903,3.41,Taurus
5190,ν Cen,207.3762,-41.6877,3.41,Centaurus
5649,ζ Lup,228.0714,-52.0992,3.41,Lupus
7957,η Cep,311.3222,61.8388,3.41,Cepheus
8634,Homam,340.3655,10.8314,3.41,Pegasus
544,Mothallah,28.2704,29.5788,3.42,Triangulum
5948,η Lup,240.0305,-38.3967,3.42,Lupus
6623,μ Her,266.6148,27.7207,3.42,Hercules
7913,β Pav,311.2397,-66.2032,3.42,Pavo
3659,HR 3659,137.7421,-58.9669,3.43,Carina
4031,Adhafera,154.1726,23.4173,3.43,Leo
7236,λ Aql,286.5623,-4.8826,3.43,Aquila
4033,Tania Borealis,154.2743,42.9144,3.45,Ursa Major
219,Achird,12.2739,57.8152,3.46,Cassiopeia
334,η Cet,17.1475,-10.1823,3.46,Cetus
3117,χ Car,119.1947,-52.9824,3.46,Carina
5681,δ Boo,228.8756,33.3148,3.46,Boötes
804,Kaffaljidhma,40.8252,3.2358,3.47,Cetus
5193,μ Cen,207.4041,-42.4737,3.47,Centaurus
3975,η Leo,151.8331,16.7627,3.48,Leo
6220,η Her,250.7240,38.9223,3.48,Hercules
509,τ Cet,26.0172,-15.9375,3.49,Cetus
2646,Nganurganity,105.4298,-27.9348,3.49,Canis Major
4377,Alula Borealis,169.6197,33.0943,3.49,Ursa Major
5602,Nekkar,225.4865,40.3906,3.49,Boötes
6897,α Tel,276.7434,-45.9685,3.49,Telescopium
8675,ε Gru,342.1386,-51.3169,3.49,Grus
2538,κ CMa,102.4602,-32.5085,3.50,Canis Major
2777,Wasat,110.0307,21.9823,3.50,Gemini
8694,ι Cep,342.4203,66.2004,3.50,Cepheus
7635,γ Sge,299.6893,19.4921,3.51,Sagitta
8684,Sadalbari,342.5008,24.6016,3.51,Pegasus
1136,Rana,55.8121,-9.7634,3.52,Eridanus
3852,Subra,145.2876,9.8923,3.52,Leo
3940,φ Vel,149.2156,-54.5678,3.52,Vela
7106,Sheliak,282.5200,33.3627,3.52,Lyra
7150,Xi-2 Sgr,284.4325,-21.1067,3.52,Sagittarius
8450,Biham,332.5499,6.1979,3.52,Pegasus
4826,γ Vir,190.4126,-1.4492,3.52,Virgo
1409,Ain,67.1541,19.1804,3.53,Taurus
3249,Tarf,124.1288,9.1855,3.53,Cancer
4450,ξ Hya,173.2506,-31.8576,3.54,Hydra
5881,μ Ser,237.4050,-3.4302,3.54,Serpens
6561,ξ Ser,264.3967,-15.3986,3.54,Serpens
1347,Ups-4 Eri,64.4736,-33.7983,3.55,Eridanus
1998,ζ Lep,86.7389,-14.8219,3.55,Lepus
5354,ι Lup,214.8509,-46.0581,3.55,Lupus
6927,χ Dra,275.2610,72.7328,3.55,Draco
7665,δ Pav,302.1774,-66.1821,3.55,Pavo
74,ι Cet,4.8570,-8.8239,3.56,Cetus
674,φ Eri,34.1273,-51.5122,3.56,Eridanus
4382,δ Crt,169.8352,-14.7785,3.56,Crater
6252,Pipirima,253.0839,-38.0175,3.56,Scorpius
2985,κ Gem,116.1119,24.3980,3.57,Gemini
3594,Alkaphrah,135.9064,47.1565,3.57,Ursa Major
5429,ρ Boo,217.9575,30.3714,3.57,Boötes
5705,Phi-1 Lup,230.4516,-36.2614,3.57,Lupus
2763,λ Gem,109.5232,16.5404,3.58,Gemini
7754,Algedi,304.5136,-12.5449,3.58,Capricornus
464,Nembus,24.4981,48.6282,3.59,Andromeda
1735,τ Ori,79.4016,-6.8444,3.59,Orion
1983,γ Lep,86.1159,-22.4484,3.59,Lepus
4540,Zavijava,177.6738,1.7647,3.59,Virgo
4700,Ginan,185.3405,-60.4011,3.59,Crux
402,θ Cet,21.0058,-8.1833,3.60,Cetus
2540,θ Gem,103.1972,33.9613,3.60,Gemini
3447,ο Vel,130.0733,-52.9219,3.60,Vela
3786,ψ Vel,142.6751,-40.4668,3.60,Vela
5794,υ Lib,234.2560,-28.1351,3.60,Libra
6500,δ Ara,262.7748,-60.6838,3.60,Ara
838,Bharani,42.4959,27.2605,3.61,Aries
1030,ο Tau,51.2033,9.0289,3.61,Taurus
3994,λ Hya,152.6470,-12.3541,3.61,Hydra
4923,δ Mus,195.5664,-71.5489,3.61,Musca
6582,η Pav,266.4333,-64.7239,3.61,Pavo
437,Alpherg,22.8709,15.3458,3.62,Pisces
1178,Atlas,57.2906,24.0534,3.62,Taurus
3017,HR 3017,116.3137,-37.9686,3.62,Puppis
6271,Zet-2 Sco,253.6460,-42.3613,3.62,Scorpius
8762,ο And,345.4803,42.3260,3.62,Andromeda
4520,λ Mus,176.4021,-66.7288,3.63,Musca
7882,Rotanev,309.3872,14.5951,3.64,Delphinus
1346,Prima Hyadum,64.9483,15.6276,3.65,Taurus
3757,23 UMa,142.8818,63.0619,3.65,Ursa Major
5867,β Ser,236.5469,15.4218,3.65,Serpens
6743,θ Ara,271.6578,-50.0915,3.65,Ara
8558,Zet-1 Aqr,337.2080,-0.0200,3.65,Aquarius
5747,Nusakan,231.9573,29.1057,3.66,Corona Borealis
5812,τ Lib,234.6641,-29.7778,3.66,Libra
5291,Thuban,211.0975,64.3758,3.67,Draco
7986,β Ind,313.7025,-58.4542,3.67,Indus
1552,Pi-4 Ori,72.8015,5.6051,3.68,Orion
3468,α Pyx,130.8981,-33.1864,3.68,Pyxis
7536,δ Sge,296.8469,18.5343,3.68,Sagitta
8812,88 Aqr,347.3616,-21.1724,3.68,Aquarius
153,Fulu,9.2428,53.8969,3.69,Cassiopeia
566,χ Eri,28.9885,-51.6089,3.69,Eridanus
1612,Saclateni,75.6195,41.0758,3.69,Auriga
3884,HR 3884,146.3118,-62.5079,3.69,Carina
4518,Taiyangshou,176.5127,47.7794,3.69,Ursa Major
8278,Nashira,325.0227,-16.6623,3.69,Capricornus
1003,Tau-4 Eri,49.8792,-21.7579,3.70,Eridanus
6703,ξ Her,269.4412,29.2479,3.70,Hercules
8852,γ Psc,349.2914,3.2823,3.70,Pisces
1567,Pi-5 Ori,73.5629,2.4407,3.71,Orion
2085,η Lep,89.1012,-14.1677,3.71,Lepus
3080,HR 3080,118.0543,-40.5758,3.71,Puppis
5892,ε Ser,237.7040,4.4777,3.71,Serpens
6771,72 Oph,271.8374,9.5638,3.71,Ophiuchus
7602,Alshain,298.8283,6.4068,3.71,Aquila
1084,Ran,53.2327,-9.4583,3.72,Eridanus
1142,Electra,56.2189,24.1133,3.72,Taurus
2077,δ Aur,89.8817,54.2847,3.72,Auriga
8079,ξ Cyg,316.2328,43.9279,3.72,Cygnus
1038,ξ Tau,51.7923,9.7327,3.73,Taurus
5511,109 Vir,221.5622,1.8929,3.73,Virgo
6688,Grumium,268.3820,56.8726,3.73,Draco
8254,ν Oct,325.3688,-77.3900,3.73,Octans
8698,λ Aqr,343.1536,-7.5796,3.73,Aquarius
539,Baten Kaitos,27.8651,-10.3350,3.74,Cetus
6095,γ Her,245.4801,19.1531,3.74,Hercules
8130,τ Cyg,318.6978,38.0453,3.74,Cygnus
3614,HR 3614,136.0387,-47.0977,3.75,Vela
6629,γ Oph,266.9732,2.7073,3.75,Ophiuchus
1922,β Dor,83.4063,-62.4898,3.76,Dorado
2035,δ Lep,87.8304,-20.8791,3.76,Lepus
2356,β Mon,97.2045,-7.0331,3.76,Monoceros
7217,ο Sgr,286.1707,-21.7415,3.76,Sagittarius
7420,Iot-2 Cyg,292.4265,51.7298,3.76,Cygnus
8585,α Lac,337.8227,50.2825,3.76,Lacerta
834,Miram,42.6742,55.8955,3.77,Perseus
1135,ν Per,56.2985,42.5785,3.77,Perseus
1373,Secunda Hyadum,65.7337,17.5425,3.77,Taurus
1931,σ Ori,84.6865,-2.6001,3.77,Orion
3347,β Vol,126.4343,-66.1369,3.77,Volans
3445,HR 3445,130.1565,-46.6487,3.77,Vela
6229,η Ara,252.4464,-59.0414,3.77,Ara
7906,Sualocin,309.9095,15.9121,3.77,Delphinus
8204,ζ Cap,321.6668,-22.4113,3.77,Capricornus
8430,ι Peg,331.7527,25.3451,3.77,Pegasus
2736,Gam-2 Vol,107.1868,-70.4989,3.78,Volans
2821,ι Gem,111.4317,27.7981,3.78,Gemini
3888,υ UMa,147.7480,59.0387,3.78,Ursa Major
4257,HR 4257,163.3734,-58.8532,3.78,Carina
5477,ζ Boo,220.2873,13.7283,3.78,Boötes
7950,Albali,311.9190,-9.4958,3.78,Aquarius
941,Misam,47.3739,44.8575,3.79,Perseus
4247,Praecipua,163.3279,34.2149,3.79,Leo Minor
963,Dalim,48.0187,-28.9876,3.80,Fornax
2948,HR 2948,114.7078,-26.8038,3.80,Puppis
5788,δ Ser,233.7006,10.5389,3.80,Serpens
7328,κ Cyg,289.2756,53.3685,3.80,Cygnus
7735,31 Cyg,303.4079,46.7413,3.80,Cygnus
1464,Theemin,68.8877,-30.5623,3.81,Eridanus
4114,HR 4114,156.9697,-58.7394,3.81,Carina
5849,γ CrB,235.6857,26.2956,3.81,Corona Borealis
8961,λ And,354.3908,46.4582,3.81,Andromeda
595,Alrescha,30.5118,2.7638,3.82,Pisces
3690,38 Lyn,139.7110,36.8026,3.82,Lynx
4434,Giausar,172.8511,69.3311,3.82,Draco
6149,Marfik,247.7284,1.9839,3.82,Ophiuchus
6588,ι Her,264.8662,46.0063,3.82,Hercules
4094,μ Hya,156.5226,-16.8363,3.83,Hydra
5248,φ Cen,209.5678,-42.1008,3.83,Centaurus
5470,α Aps,221.9655,-79.0448,3.83,Apus
1175,β Ret,56.0489,-64.8069,3.84,Reticulum
1131,Atik,56.0797,32.2882,3.84,Perseus
1411,The-1 Tau,67.1437,15.9622,3.84,Taurus
3571,HR 3571,133.7619,-60.6446,3.84,Carina
4133,ρ Leo,158.2028,9.3066,3.84,Leo
4167,HR 4167,159.3258,-48.2256,3.84,Vela
4773,γ Mus,188.1170,-72.1330,3.84,Musca
6779,ο Her,271.8856,28.7625,3.84,Hercules
6812,Polis,273.4409,-21.0588,3.84,Sagittarius
7582,ε Dra,297.0428,70.2679,3.84,Draco
1326,α Hor,63.5004,-42.2944,3.85,Horologium
2020,β Pic,86.8212,-51.0665,3.85,Pictor
2296,δ Col,95.5285,-33.4364,3.85,Columba
4023,HR 4023,153.6841,-42.1219,3.85,Vela
4787,κ Dra,188.3709,69.7882,3.85,Draco
4802,τ Cen,189.4259,-48.5413,3.85,Centaurus
5933,γ Ser,239.1132,15.6616,3.85,Serpens
6895,109 Her,275.9245,21.7698,3.85,Hercules
6973,α Sct,278.8018,-8.2441,3.85,Scutum
269,μ And,14.1883,38.4993,3.86,Andromeda
1481,Sceptrum,69.5451,-14.3040,3.86,Eridanus
1862,ε Col,82.8031,-35.4705,3.86,Columba
6030,δ TrA,243.8595,-63.6857,3.86,Triangulum Australe
6102,γ Aps,248.3641,-78.8971,3.86,Apus
6695,θ Her,269.0633,37.2505,3.86,Hercules
8518,Sadachbia,335.4141,-1.3873,3.86,Aquarius
1149,Maia,56.4567,24.3677,3.87,Taurus
3487,HR 3487,131.5069,-46.0415,3.87,Vela
5249,Ups-1 Cen,209.6698,-44.8036,3.87,Centaurus
5487,μ Vir,220.7651,-5.6582,3.87,Virgo
5928,Iklil,239.2212,-29.2141,3.87,Scorpius
7570,η Aql,298.1182,1.0057,3.87,Aquila
25,ε Phe,2.3525,-45.7474,3.88,Phoenix
546,Mesarthim,28.3825,19.2939,3.88,Aries
3905,Rasalas,148.1910,26.0070,3.88,Leo
5646,Kap-1 Lup,227.9838,-48.7378,3.88,Lupus
8820,ι Gru,347.5896,-45.2467,3.88,Grus
874,Azha,44.1069,-8.8981,3.89,Eridanus
2580,Omi-1 CMa,103.5331,-24.1842,3.89,Canis Major
3665,θ Hya,138.5911,2.3143,3.89,Hydra
4689,Zaniah,184.9765,-0.6668,3.89,Virgo
7615,η Cyg,299.0766,35.0834,3.89,Cygnus
3845,Ukdah,144.9640,-1.1428,3.90,Hydra
4390,π Cen,170.2518,-54.4910,3.90,Centaurus
5089,HR 5089,202.7611,-39.4073,3.90,Centaurus
1251,ν Tau,60.7891,5.9893,3.91,Taurus
3314,HR 3314,126.4151,-3.9064,3.91,Hydra
4743,σ Cen,187.0100,-50.2306,3.91,Centaurus
5605,π Lup,226.2795,-47.0512,3.91,Lupus
5787,Zubenelhakrabi,233.8816,-14.7895,3.91,Libra
6092,τ Her,244.9352,46.3134,3.91,Hercules
6324,ε Her,255.0724,30.9264,3.92,Hercules
7340,Rho-1 Sgr,290.4182,-17.8472,3.92,Sagittarius
8131,Kitalpha,318.9560,5.2478,3.92,Equuleus
100,κ Phe,6.5507,-43.6798,3.93,Phoenix
440,δ Phe,22.8128,-49.0727,3.93,Phoenix
854,τ Per,43.5644,52.7625,3.93,Perseus
1463,ν Eri,69.0798,-3.3525,3.93,Eridanus
3024,ζ Vol,115.4551,-72.6061,3.93,Volans
4337,HR 4337,167.1475,-58.9750,3.93,Carina
5993,Ome-1 Sco,241.7018,-20.6692,3.93,Scorpius
